prec,       card,      avg_est,      std_err,      max_err
 6,            0,        45.00,      45.7693,           45
 6,            0,        45.00,      45.7693,           45
 6,            0,        45.00,      45.7693,           45
 6,            1,        45.20,      22.4787,         22.5
 6,            1,        45.43,      22.5979,         22.5
 6,            1,        45.23,      22.4958,         22.5
 6,            2,        45.97,      14.9062,      14.6667
 6,            2,        45.97,      14.9062,      14.6667
 6,            3,        46.30,      11.0107,           11
 6,            3,        46.33,      11.0192,           11
 6,            3,        46.37,      11.0277,           11
 6,            4,        46.87,      8.72033,          8.8
 6,            4,        46.87,      8.72049,          8.8
 6,            4,        46.83,      8.71345,          8.6
 6,            5,        47.40,      7.18795,      7.16667
 6,            5,        47.37,      7.18229,      7.16667
 6,            6,        47.93,      6.09334,      6.14286
 6,            6,        47.73,      6.06417,            6
 6,            6,        47.77,       6.0691,      6.14286
 6,            7,        48.50,      5.27656,         5.25
 6,            7,        48.27,      5.24692,         5.25
 6,            8,        48.77,       4.6075,      4.66667
 6,            8,        48.80,      4.61133,      4.66667
 6,            8,        48.83,      4.61488,      4.66667
 6,            9,        49.37,      4.10622,          4.1
 6,            9,        49.40,      4.10953,          4.2
 6,            9,        49.40,      4.10962,          4.2
 6,           10,        49.83,      3.68398,      3.81818
 6,           10,        49.77,      3.67747,      3.72727
 6,           11,        50.47,      3.34545,      3.33333
 6,           11,        50.23,      3.32575,      3.33333
 6,           11,        50.53,      3.35124,      3.41667
 6,           12,        50.67,      3.02584,      3.07692
 6,           12,        50.63,       3.0231,      3.07692
 6,           13,        51.23,      2.77825,      2.85714
 6,           13,        51.27,      2.78063,      2.85714
 6,           13,        51.27,      2.78082,      2.85714
 6,           14,        52.00,       2.5773,      2.66667
 6,           14,        51.97,      2.57501,          2.6
 6,           14,        52.03,      2.57952,      2.66667
 6,           15,        52.20,      2.36511,       2.4375
 6,           15,        52.30,      2.37162,       2.4375
 6,           16,        52.97,      2.21225,      2.29412
 6,           16,        53.00,      2.21422,      2.29412
