prec,       card,      avg_est,      std_err,      max_err
 6,            0,         0.00,            0,            0
 6,            0,         0.00,            0,            0
 6,            0,         0.00,            0,            0
 6,            0,         0.00,            0,            0
 6,            0,         0.00,            0,            0
 6,            0,         0.00,            0,            0
 6,            1,         1.00,            0,            0
 6,            1,         1.00,            0,            0
 6,            1,         1.00,            0,            0
 6,            1,         1.00,            0,            0
 6,            1,         1.00,            0,            0
 6,            2,         1.97,    0.0618984,     0.333333
 6,            2,         1.97,    0.0618984,     0.333333
 6,            2,         1.97,    0.0618984,     0.333333
 6,            2,         2.00,            0,            0
 6,            2,         2.00,            0,            0
 6,            3,         2.93,    0.0656532,         0.25
 6,            3,         2.97,    0.0464238,         0.25
 6,            3,         2.97,    0.0464238,         0.25
 6,            3,         3.00,            0,            0
 6,            3,         3.00,            0,            0
 6,            4,         3.87,    0.0742781,          0.2
 6,            4,         3.93,    0.0525226,          0.2
 6,            4,         3.97,    0.0371391,          0.2
 6,            4,         3.87,    0.0742781,          0.2
 6,            4,         3.93,    0.0525226,          0.2
 6,            4,         3.93,    0.0525226,          0.2
 6,            5,         4.90,    0.0536056,     0.166667
 6,            5,         4.90,    0.0536056,     0.166667
 6,            5,         4.90,    0.0536056,     0.166667
 6,            5,         4.87,    0.0618984,     0.166667
 6,            5,         4.73,    0.0875376,     0.166667
 6,            6,         5.80,    0.0750322,     0.285714
 6,            6,         5.77,    0.0701862,     0.142857
 6,            6,         5.73,    0.0838886,     0.285714
 6,            6,         5.90,    0.0459477,     0.142857
 6,            6,         5.80,    0.0750322,     0.285714
 6,            7,         6.50,     0.101178,         0.25
 6,            7,         6.60,     0.086851,         0.25
 6,            7,         6.73,    0.0734025,         0.25
 6,            7,         6.77,     0.061413,        0.125
 6,            7,         6.60,    0.0928477,         0.25
 6,            8,         7.70,    0.0618984,     0.111111
 6,            8,         7.40,      0.10108,     0.222222
 6,            8,         7.70,    0.0684313,     0.222222
 6,            8,         7.53,    0.0875376,     0.222222
 6,            8,         7.43,    0.0945514,     0.222222
 6,            9,         8.47,    0.0830455,          0.2
 6,            9,         8.57,    0.0765641,          0.2
 6,            9,         8.60,    0.0787839,          0.3
 6,            9,         8.73,    0.0525226,          0.1
 6,            9,         8.20,     0.108278,          0.2
 6,            9,         8.30,     0.112954,          0.3
 6,           10,         9.43,     0.084407,     0.181818
 6,           10,         9.47,    0.0754959,     0.181818
 6,           10,         9.33,    0.0893279,     0.181818
 6,           10,         9.43,    0.0773603,     0.181818
 6,           10,         9.23,    0.0969762,     0.181818
 6,           11,        10.60,     0.102647,         0.25
 6,           11,        10.53,     0.107211,     0.166667
 6,           11,        10.60,     0.100287,     0.166667
 6,           11,        10.90,    0.0966389,     0.166667
 6,           11,        10.50,    0.0966389,     0.166667
 6,           12,        11.70,     0.107844,     0.230769
 6,           12,        11.50,     0.113378,     0.230769
 6,           12,        11.23,     0.111564,     0.153846
 6,           12,        11.33,     0.114274,     0.230769
 6,           12,        12.27,    0.0728357,     0.153846
 6,           13,        12.97,    0.0947236,     0.285714
 6,           13,        12.60,    0.0937903,     0.214286
 6,           13,        12.90,    0.0784706,     0.214286
 6,           13,        12.57,     0.101882,     0.285714
 6,           13,        12.23,     0.143472,     0.357143
 6,           14,        13.50,    0.0848709,     0.266667
 6,           14,        13.63,    0.0792687,     0.266667
 6,           14,        13.83,    0.0753027,     0.266667
 6,           14,        13.30,    0.0866578,     0.266667
 6,           14,        13.77,    0.0643268,     0.133333
 6,           14,        13.40,    0.0974778,     0.266667
 6,           15,        14.30,    0.0964063,       0.1875
 6,           15,        14.53,    0.0898994,        0.125
 6,           15,        14.77,     0.101842,       0.3125
 6,           15,        14.83,    0.0778551,        0.125
 6,           15,        14.50,    0.0795664,        0.125
 6,           16,        15.33,    0.0926869,     0.176471
 6,           16,        15.60,     0.083189,     0.176471
 6,           16,        15.53,    0.0802692,     0.117647
 6,           16,        16.30,    0.0824688,     0.117647
 6,           16,        15.90,    0.0839031,     0.176471
 6,           17,        17.17,    0.0916942,     0.222222
 6,           17,        16.77,    0.0973248,     0.222222
 6,           17,        16.40,      0.09787,     0.166667
 6,           17,        16.90,    0.0751046,     0.166667
 6,           17,        16.33,    0.0956704,     0.222222
 6,           18,        17.23,     0.114395,     0.210526
 6,           18,        17.90,    0.0823525,     0.210526
 6,           18,        17.50,    0.0972445,     0.210526
 6,           18,        18.27,    0.0805938,     0.210526
 6,           18,        17.60,    0.0691086,     0.210526
 6,           19,        18.83,    0.0804084,          0.2
 6,           19,        18.53,    0.0787839,         0.15
 6,           19,        18.73,      0.11447,         0.25
 6,           19,        19.10,    0.0782348,          0.2
 6,           19,        18.73,    0.0919145,         0.25
 6,           19,        18.67,          0.1,         0.25
 6,           20,        19.73,    0.0790909,     0.142857
 6,           20,        20.00,    0.0918954,     0.238095
 6,           20,        19.47,     0.106112,     0.285714
 6,           20,        20.20,    0.0760672,     0.142857
 6,           20,        19.27,     0.116642,     0.238095
 6,           21,        20.87,    0.0791808,     0.136364
 6,           21,        21.23,    0.0951218,     0.272727
 6,           21,        21.13,    0.0809603,     0.181818
 6,           21,        21.03,    0.0928477,     0.181818
 6,           21,        20.77,     0.084828,     0.272727
 6,           22,        21.47,    0.0665775,     0.217391
 6,           22,        22.10,    0.0873305,     0.173913
 6,           22,        21.83,     0.084292,     0.173913
 6,           22,        21.87,    0.0839045,     0.173913
 6,           22,        21.83,    0.0998663,     0.173913
 6,           23,        23.50,    0.0885575,     0.208333
